start,end,no_model,cond,B_X_n,B_Lag_1,Beta_X_n,Beta_Lag_1,R2,series_code,series_name,variant,window,lags
117,141,False,79.11975263715036,0.008850219125557366,-0.016481793433031754,5.656874524870763,-10.681936489037438,0.9634603084487753,25,Производство готовых металличес,adj_smoothed,24,3
118,142,False,79.38667233071494,0.008905201600747658,-0.0162260843840909,5.484456732229929,-10.377564023873695,0.9668965628991448,25,Производство готовых металличес,adj_smoothed,24,3
119,143,False,96.15896733871611,0.00892524889657057,-0.01622511119454091,5.214069682861436,-10.016317014018142,0.9662050302827153,25,Производство готовых металличес,adj_smoothed,24,3
120,144,False,96.29918497876943,0.009575076512980792,-0.017954388333330934,5.3300920258374855,-10.533660621213716,0.9736414857639333,25,Производство готовых металличес,adj_smoothed,24,3
121,145,False,95.63199889503403,0.009437524087967095,-0.017847572376622316,5.095692764124622,-9.985684708507371,0.9683307115990532,25,Производство готовых металличес,adj_smoothed,24,3
122,146,False,84.99592713650944,0.01017120086394584,-0.019905525078238447,5.3583961902091914,-10.695984637729786,0.9644650333043778,25,Производство готовых металличес,adj_smoothed,24,3
123,147,False,69.92978018489761,0.009732453197013675,-0.018828197064129977,4.7904535737555,-9.451385851035269,0.9667473803827771,25,Производство готовых металличес,adj_smoothed,24,3
124,148,False,68.05223313460615,0.009321934103939954,-0.01845565733987838,4.351686019537505,-8.803745638659763,0.9642888106013412,25,Производство готовых металличес,adj_smoothed,24,3
125,149,False,57.190395322224695,0.00904855471061403,-0.018013076514063597,4.1812531294985575,-8.442538284976877,0.9697319076931067,25,Производство готовых металличес,adj_smoothed,24,3
126,150,False,53.05382305001384,0.00840303604410492,-0.016786485784982742,3.7560733940404454,-7.686432819425659,0.9730262174280428,25,Производство готовых металличес,adj_smoothed,24,3
127,151,False,50.46088654960085,0.008400049183413354,-0.016869585173642905,3.512553168392345,-7.435731071258399,0.9735605067445168,25,Производство готовых металличес,adj_smoothed,24,3
128,152,False,45.2791600293739,0.008208808955901054,-0.016114789571319354,3.30394006454027,-6.911614245916072,0.9735025394629052,25,Производство готовых металличес,adj_smoothed,24,3
129,153,False,45.63984162688846,0.008075452046546881,-0.015778593812977224,3.4608694372372586,-6.977741838592833,0.9682122248153622,25,Производство готовых металличес,adj_smoothed,24,3
