model,case,regime,window,lags,period,rho,windows,false_lag_rate,hit_rate,no_model_share,mean_false_lag_count,mean_selected_count,mean_b_sum,std_b_sum,mean_R2_enter,rho_band
mixed,mixed_q_2_8_gamma_0_5,цикл со смешанной памятью,25,10,3,8.333333333333334,155,0.034408602150537634,0.967741935483871,0.0,0.07096774193548387,2.0064516129032257,-1.3455973490036868,0.2845785134743322,0.9999978481521324,rho>=2
mixed,mixed_q_2_8_gamma_0_5,цикл со смешанной памятью,30,10,3,10.0,150,0.03333333333333333,0.9866666666666667,0.0,0.08666666666666667,2.06,-1.4000181764249011,0.0030701068059050193,0.9999977647576689,rho>=2
mixed,mixed_q_2_8_gamma_0_5,цикл со смешанной памятью,40,10,3,13.333333333333334,140,0.06428571428571428,1.0,0.0,0.19285714285714287,2.192857142857143,-1.4000148724781931,0.0005869674196652133,0.9999999767071777,rho>=2
mixed,mixed_q_2_8_gamma_0_5,цикл со смешанной памятью,50,10,3,16.666666666666668,130,0.07435897435897436,1.0,0.0,0.23076923076923078,2.230769230769231,-1.3999927454080627,0.0001234650376427238,0.9999999990989057,rho>=2
mixed,mixed_q_2_8_gamma_neg_0_2,цикл с отрицательной памятью,15,3,2,7.5,165,0.0,0.0030303030303030303,0.9939393939393939,0.0,0.006060606060606061,-0.021583788779628587,0.18730347306037345,0.5016499690228597,rho>=2
mixed,mixed_q_2_8_gamma_neg_0_2,цикл с отрицательной памятью,20,3,2,10.0,160,0.0,0.003125,0.99375,0.0,0.00625,-0.004867164294000268,0.08483943305293375,0.3393785339812589,rho>=2
mixed,mixed_q_2_8_gamma_neg_0_2,цикл с отрицательной памятью,25,3,2,12.5,155,0.0,0.0064516129032258064,0.9935483870967742,0.0,0.012903225806451613,0.0005612524353241697,0.0591883034215741,0.3035572625496256,rho>=2
mixed,mixed_q_2_8_gamma_neg_0_2,цикл с отрицательной памятью,30,3,2,15.0,150,0.0033333333333333335,0.0033333333333333335,0.9933333333333333,0.006666666666666667,0.013333333333333334,0.0033955335682171574,0.05080554891036763,0.28978763810520414,rho>=2
mixed,mixed_q_2_8_gamma_neg_0_2,цикл с отрицательной памятью,40,3,2,20.0,140,0.0,0.007142857142857143,0.9928571428571429,0.0,0.014285714285714285,0.006606654815481154,0.04803483052730164,0.2791091336809308,rho>=2
mixed,mixed_q_2_8_gamma_neg_0_2,цикл с отрицательной памятью,50,3,2,25.0,130,0.002564102564102564,0.007692307692307693,0.9923076923076923,0.007692307692307693,0.023076923076923078,0.008694405572073021,0.049872562429989886,0.2750257528984127,rho>=2
