start,end,model_name,valid,a,k,alpha,segment,model,case,regime,method,observation,R2,g,q,gamma
21,46,base,True,0.8000000000025226,1.0000000000000004,0.800000000002523,early,base,base_a_0_8,устойчивое насыщение,regression,clean,1.0,,,
22,47,base,True,0.800000000013819,1.0000000000000004,0.8000000000138193,early,base,base_a_0_8,устойчивое насыщение,regression,clean,1.0,,,
23,48,base,True,0.8000000000861363,1.0000000000000004,0.8000000000861367,early,base,base_a_0_8,устойчивое насыщение,regression,clean,1.0,,,
24,49,base,True,0.8000000004646114,1.0,0.8000000004646114,early,base,base_a_0_8,устойчивое насыщение,regression,clean,1.0,,,
25,50,base,True,0.8000000024508982,0.9999999999999999,0.8000000024508981,early,base,base_a_0_8,устойчивое насыщение,regression,clean,1.0,,,
26,51,base,True,0.8000000122038077,1.0000000000000004,0.8000000122038081,early,base,base_a_0_8,устойчивое насыщение,regression,clean,0.9999999999999992,,,
27,52,base,True,0.8000000557985266,1.0000000000000002,0.8000000557985267,early,base,base_a_0_8,устойчивое насыщение,regression,clean,0.9999999999999934,,,
28,53,base,True,0.8000003612281661,1.0000000000000004,0.8000003612281665,early,base,base_a_0_8,устойчивое насыщение,regression,clean,0.9999999999994706,,,
29,54,base,True,0.8000010034709624,1.0000000000000002,0.8000010034709626,early,base,base_a_0_8,устойчивое насыщение,regression,clean,0.9999999999963473,,,
30,55,base,True,0.8000085187912157,1.0000000000000007,0.8000085187912163,early,base,base_a_0_8,устойчивое насыщение,regression,clean,0.999999999604226,,,
31,56,base,True,0.8000459123599234,1.0000000000000009,0.8000459123599241,early,base,base_a_0_8,устойчивое насыщение,regression,clean,0.9999999866566335,,,
32,57,base,True,0.8002266171159419,1.0000000000000004,0.8002266171159422,early,base,base_a_0_8,устойчивое насыщение,regression,clean,0.9999998361348675,,,
33,58,base,True,0.8010191110750242,1.0000000000000007,0.8010191110750248,early,base,base_a_0_8,устойчивое насыщение,regression,clean,0.9999938733644483,,,
34,59,base,True,0.80357048979173,1.0000000000000004,0.8035704897917303,early,base,base_a_0_8,устойчивое насыщение,regression,clean,0.999937349787455,,,
35,60,base,True,0.8133377943114772,1.0,0.8133377943114772,early,base,base_a_0_8,устойчивое насыщение,regression,clean,0.9997191720582755,,,
36,61,base,True,0.9279467025690471,1.0000000000000004,0.9279467025690474,early,base,base_a_0_8,устойчивое насыщение,regression,clean,0.9432065809544641,,,
37,62,base,False,-6.476300976980093e-17,,6.47630097698009e-17,early,base,base_a_0_8,устойчивое насыщение,regression,clean,0.0,,,
38,63,base,False,-1.3877787807814475e-17,,1.3877787807814466e-17,early,base,base_a_0_8,устойчивое насыщение,regression,clean,0.0,,,
39,64,base,False,-2.3129646346357457e-18,,2.3129646346357446e-18,early,base,base_a_0_8,устойчивое насыщение,regression,clean,1.1102230246251565e-16,,,
40,65,base,False,-0.0,,0.0,early,base,base_a_0_8,устойчивое насыщение,regression,clean,,,,
41,66,base,False,-0.0,,0.0,early,base,base_a_0_8,устойчивое насыщение,regression,clean,,,,
42,67,base,False,-0.0,,0.0,early,base,base_a_0_8,устойчивое насыщение,regression,clean,,,,
43,68,base,False,-0.0,,0.0,early,base,base_a_0_8,устойчивое насыщение,regression,clean,,,,
44,69,base,False,-0.0,,0.0,early,base,base_a_0_8,устойчивое насыщение,regression,clean,,,,
45,70,base,False,-0.0,,0.0,early,base,base_a_0_8,устойчивое насыщение,regression,clean,,,,
46,71,base,False,-0.0,,0.0,early,base,base_a_0_8,устойчивое насыщение,regression,clean,,,,
47,72,base,False,-0.0,,0.0,early,base,base_a_0_8,устойчивое насыщение,regression,clean,,,,
48,73,base,False,-0.0,,0.0,middle,base,base_a_0_8,устойчивое насыщение,regression,clean,,,,
49,74,base,False,-0.0,,0.0,middle,base,base_a_0_8,устойчивое насыщение,regression,clean,,,,
50,75,base,False,-0.0,,0.0,middle,base,base_a_0_8,устойчивое насыщение,regression,clean,,,,
51,76,base,False,-0.0,,0.0,middle,base,base_a_0_8,устойчивое насыщение,regression,clean,,,,
52,77,base,False,-0.0,,0.0,middle,base,base_a_0_8,устойчивое насыщение,regression,clean,,,,
53,78,base,False,-0.0,,0.0,middle,base,base_a_0_8,устойчивое насыщение,regression,clean,,,,
54,79,base,False,-0.0,,0.0,middle,base,base_a_0_8,устойчивое насыщение,regression,clean,,,,
55,80,base,False,-0.0,,0.0,middle,base,base_a_0_8,устойчивое насыщение,regression,clean,,,,
