model,case,regime_family,start,end,true_label,predicted_label,true_tool,recommended_tool,true_regression_admissible,predicted_regression_admissible,mean_x,std_x,rel_range,omega_std,turning_rate,unique_ratio,lag1_autocorr,lag2_autocorr,dominant_period,dominant_acf,corr_omega_x,corr_omega_lag1,start_mean,end_mean,max_x,collapse_ratio,growth_ratio,selected,no_model,b_sum,R2_enter,selected_count,hit_rate,false_lag_count,false_lag_rate
base,base_a_2_8,chaotic_informative,52,77,chaotic_informative,chaotic_informative,phase_analysis,phase_analysis,0,0,0.8960871179605894,0.3050685929402934,1.155831619331981,0.8089907608141235,0.9130434782608695,1.0,-0.5700501320223283,0.20223950082847897,15.0,0.34340976779171506,-1.0,0.5317127813747773,0.8995254037701941,0.833918442976196,1.2873386058231953,0.647784847905608,0.9270649161001805,['X_n'],0,-1.942890293094024e-15,1.0,1.0,1.0,0.0,0.0
base,base_a_2_8,chaotic_informative,53,78,chaotic_informative,chaotic_informative,phase_analysis,phase_analysis,0,0,0.8962219340044794,0.3050989521911588,1.1556577509625414,0.8709274189324877,0.9130434782608695,1.0,-0.5549193726563866,0.20894751174371956,15.0,0.3519516592171533,-0.9999999999999998,0.5776575104841372,0.9167578531400373,0.8406106951346046,1.2873386058231953,0.6529833653183047,0.9169386357099457,['X_n'],0,-1.8283985436795547e-14,1.0,1.0,1.0,0.0,0.0
base,base_a_2_8,chaotic_informative,54,79,chaotic_informative,chaotic_informative,phase_analysis,phase_analysis,0,0,0.8960057974841789,0.3049829779553481,1.1559365213071673,0.8664812371137995,0.8695652173913043,1.0,-0.5480023356585929,0.1347876475289492,15.0,0.30439530846712964,-1.0,0.5575660266324016,0.8826416430248947,0.8308217604805737,1.2873386058231953,0.6453793560780385,0.94129000942361,['X_n'],0,-7.1878267227099e-15,1.0,1.0,1.0,0.0,0.0
base,base_a_2_8,chaotic_informative,55,80,chaotic_informative,chaotic_informative,phase_analysis,phase_analysis,0,0,0.8964672137301188,0.30496195745526705,1.1553415548855988,0.8714877517035353,0.8695652173913043,1.0,-0.5529996702193511,0.13582643036992134,15.0,0.3043007707433654,-0.9999999999999998,0.5564701034569199,0.9299186408942374,0.8537178789869906,1.2873386058231953,0.663164978604115,0.9180565282206088,['X_n'],0,-3.116951141635127e-14,1.0,1.0,1.0,0.0,0.0
base,base_a_2_8,chaotic_informative,56,81,chaotic_informative,chaotic_informative,phase_analysis,phase_analysis,0,0,0.8959406819680774,0.3044838040352089,1.1560205328993187,0.8557183408799087,0.8695652173913043,1.0,-0.5263237074914611,0.11085148999649466,15.0,0.2870650081406847,-0.9999999999999998,0.5351531876940312,0.8274303072418847,0.8385939149979146,1.2873386058231953,0.6514167377600483,1.013491900959299,"['X_n', 'Lag_3']",0,-2.3869795029440866e-15,1.0,2.0,1.0,1.0,0.5
base,base_a_2_8,chaotic_informative,57,82,chaotic_informative,chaotic_informative,phase_analysis,phase_analysis,0,0,0.8973983324082038,0.30308368342619796,1.1541428005950323,0.8512253525706154,0.8695652173913043,1.0,-0.5178418327810147,0.03291604024241431,18.0,0.3195616124463406,-1.0,0.5019955584814723,0.8796499968475152,0.8850293150272026,1.2873386058231953,0.6874875895307017,1.0061152938088624,['X_n'],0,-4.135580766728708e-14,1.0,1.0,1.0,0.0,0.0
base,base_a_2_8,chaotic_informative,58,83,chaotic_informative,chaotic_informative,phase_analysis,phase_analysis,0,0,0.8979999018801675,0.3038279736382162,1.1533696411841334,0.8390757052937747,0.8695652173913043,1.0,-0.4963919429790576,0.0769478479890944,10.0,0.31327065279162203,-1.0,0.47321835986689875,0.845446753861383,0.9477549714906113,1.2873386058231953,0.736212653922986,1.1210108349957688,['X_n'],0,-1.5959455978986625e-15,1.0,1.0,1.0,0.0,0.0
base,base_a_2_8,chaotic_informative,59,84,chaotic_informative,chaotic_informative,phase_analysis,phase_analysis,0,0,0.8959968953873303,0.3077433475733846,1.1559480060108716,0.8011749668429388,0.9130434782608695,1.0,-0.5771328706300091,0.2152135452502611,10.0,0.511118504843271,-1.0,0.5337455544266761,0.9316858542453866,0.8243930690266235,1.2873386058231953,0.6403855716728554,0.884840169323313,['X_n'],0,1.61259894326804e-14,1.0,1.0,1.0,0.0,0.0
base,base_a_2_8,chaotic_informative,60,85,chaotic_informative,chaotic_informative,phase_analysis,phase_analysis,0,0,0.8917422698175139,0.30787031958446226,1.161463193649962,0.8791106557274664,0.9130434782608695,1.0,-0.5179357226469485,0.19971248526041846,10.0,0.5129304227854384,-1.0,0.5843053030721218,0.9361835171006073,0.8859477533230832,1.2873386058231953,0.6882010290964274,0.9463398330990637,['X_n'],0,-1.9984014443252818e-14,1.0,1.0,1.0,0.0,0.0
base,base_a_2_8,chaotic_informative,61,86,chaotic_informative,chaotic_informative,phase_analysis,phase_analysis,0,0,0.8966530788176267,0.3121193212486089,1.1551020668781706,0.8713011446042649,0.8695652173913043,1.0,-0.5105466473158593,0.06103926684492873,10.0,0.5287373544675883,-1.0,0.5152187619153964,0.9291995476502047,0.9181051806811227,1.2873386058231953,0.7131808030366926,0.9880602966315062,['X_n'],0,-3.239075674343894e-14,1.0,1.0,1.0,0.0,0.0
