case,component,variable,abs_loading,loading_share,is_true_predictor
mixed_q_1_5_gamma_0_5,2,Lag_4,0.21082709006109884,0.0715739858619227,0
mixed_q_1_5_gamma_0_5,2,Lag_10,0.17780474464035978,0.059698925000917,0
mixed_q_1_5_gamma_0_5,2,Lag_8,0.17048373107080442,0.056823612222899736,0
mixed_q_1_5_gamma_0_5,2,Lag_6,0.1687087373813498,0.056092452993683775,0
mixed_q_1_5_gamma_0_5,3,Lag_10,0.4209631003633198,0.1500513104931444,0
mixed_q_1_5_gamma_0_5,3,Lag_1,0.37304713160172803,0.14721370097101708,1
mixed_q_1_5_gamma_0_5,3,Lag_9,0.33581157422249086,0.11670748431076937,0
mixed_q_1_5_gamma_0_5,3,X_n,0.29853901009890405,0.1307270123988469,1
mixed_q_1_5_gamma_0_5,3,Lag_3,0.272987917373439,0.09777627574563237,0
mixed_q_1_5_gamma_0_5,3,Lag_4,0.20463888304406447,0.07087495512932925,0
mixed_q_1_5_gamma_0_5,3,Lag_8,0.19925184645610788,0.06742872596227763,0
mixed_q_1_5_gamma_0_5,3,Lag_5,0.18819893285150963,0.06499181856041916,0
mixed_q_1_5_gamma_0_5,3,Lag_2,0.17958252172502945,0.0618025493430957,0
mixed_q_1_5_gamma_0_5,3,Lag_7,0.14083430529974858,0.050658561712318494,0
mixed_q_1_5_gamma_0_5,3,Lag_6,0.11801149879336967,0.041767605373149636,0
mixed_q_1_5_gamma_0_5,4,Lag_10,0.46011677597753764,0.16034312032319065,0
mixed_q_1_5_gamma_0_5,4,Lag_6,0.38609487753325217,0.13373703524626923,0
mixed_q_1_5_gamma_0_5,4,Lag_9,0.32021999909216703,0.11076626205124063,0
mixed_q_1_5_gamma_0_5,4,Lag_7,0.3096101747327216,0.10980851285657342,0
mixed_q_1_5_gamma_0_5,4,Lag_5,0.29883952936306646,0.10155932127174021,0
mixed_q_1_5_gamma_0_5,4,Lag_1,0.2912961018048639,0.09883838425559482,1
mixed_q_1_5_gamma_0_5,4,Lag_2,0.18575209861529943,0.0630038590388899,0
mixed_q_1_5_gamma_0_5,4,X_n,0.17997640842024662,0.06155508860230315,1
mixed_q_1_5_gamma_0_5,4,Lag_4,0.16824412881235268,0.05752524044376518,0
mixed_q_1_5_gamma_0_5,4,Lag_3,0.15919588414819769,0.0555050269576392,0
mixed_q_1_5_gamma_0_5,4,Lag_8,0.13496569366565897,0.047358148952793555,0
mixed_q_1_5_gamma_0_5,5,Lag_7,0.4873675125143202,0.1662574679301586,0
mixed_q_1_5_gamma_0_5,5,Lag_4,0.416078557786974,0.14209006963195225,0
mixed_q_1_5_gamma_0_5,5,Lag_10,0.38725063278041005,0.13195795650049047,0
mixed_q_1_5_gamma_0_5,5,Lag_6,0.32704282496006304,0.1121329174679941,0
mixed_q_1_5_gamma_0_5,5,Lag_1,0.2811450376824194,0.09615263684033135,1
mixed_q_1_5_gamma_0_5,5,Lag_3,0.2558303221436032,0.088129424735096,0
mixed_q_1_5_gamma_0_5,5,Lag_8,0.21399693808893802,0.07264846802844013,0
mixed_q_1_5_gamma_0_5,5,Lag_9,0.18556738068479595,0.06346825201188003,0
mixed_q_1_5_gamma_0_5,5,X_n,0.16697856538872247,0.0572641082946997,1
mixed_q_1_5_gamma_0_5,5,Lag_5,0.12826205487018855,0.043149061213561664,0
mixed_q_1_5_gamma_0_5,5,Lag_2,0.07905380259766157,0.02674963734539565,0
mixed_q_2_8_gamma_0_5,1,Lag_3,0.3590226431693755,0.11905619092016725,0
mixed_q_2_8_gamma_0_5,1,X_n,0.3556710133027924,0.11786310502905276,1
mixed_q_2_8_gamma_0_5,1,Lag_6,0.3521934575104063,0.11646341637244607,0
mixed_q_2_8_gamma_0_5,1,Lag_9,0.34212547554614825,0.11289863133514481,0
mixed_q_2_8_gamma_0_5,1,Lag_1,0.3383500245801818,0.11193306684275608,1
mixed_q_2_8_gamma_0_5,1,Lag_4,0.3347490526940556,0.11060423644927579,0
