model,case,regime,start,stage,component,variable,loading,abs_loading,loading_share,is_true_predictor
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",75,middle,1,Lag_8,-0.1108361684396726,0.1108361684396726,0.035876846899574044,0
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",75,middle,1,Lag_9,-0.3041501933402053,0.3041501933402053,0.0984511651255943,0
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",75,middle,1,Lag_10,0.38507685628457583,0.38507685628457583,0.12464652659849573,0
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",75,middle,2,X_n,-0.29817808881344626,0.29817808881344626,0.09740623893372286,1
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",75,middle,2,Lag_1,-0.14206614990997163,0.14206614990997163,0.046408941037859246,1
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",75,middle,2,Lag_2,0.43346463261913154,0.43346463261913154,0.14160047689028427,0
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",75,middle,2,Lag_3,-0.2981914457529273,0.2981914457529273,0.09741060226318038,0
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",75,middle,2,Lag_4,-0.14202786280308385,0.14202786280308385,0.046396433736949134,0
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",75,middle,2,Lag_5,0.43344664972760294,0.43344664972760294,0.14159460239482444,0
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",75,middle,2,Lag_6,-0.29821483430555856,0.29821483430555856,0.09741824263325245,0
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",75,middle,2,Lag_7,-0.14196916421265354,0.14196916421265354,0.046377258589146424,0
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",75,middle,2,Lag_8,0.43344349314913144,0.43344349314913144,0.1415935712310725,0
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",75,middle,2,Lag_9,-0.2982247506046281,0.2982247506046281,0.09742148200406052,0
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",75,middle,2,Lag_10,-0.14195352677309178,0.14195352677309178,0.046372150285647916,0
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",76,middle,1,X_n,0.3918371381977747,0.3918371381977747,0.12781425600661858,1
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",76,middle,1,Lag_1,-0.2976025065838289,0.2976025065838289,0.09707564510007675,1
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",76,middle,1,Lag_2,-0.10268363680304396,0.10268363680304396,0.03349461131326076,0
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",76,middle,1,Lag_3,0.3918225972813042,0.3918225972813042,0.12780951287168024,0
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",76,middle,1,Lag_4,-0.29761404567898136,0.29761404567898136,0.09707940906402535,0
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",76,middle,1,Lag_5,-0.10264745146240585,0.10264745146240585,0.033482807933894326,0
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",76,middle,1,Lag_6,0.3918017756669293,0.3918017756669293,0.1278027210214681,0
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",76,middle,1,Lag_7,-0.297634250508772,0.297634250508772,0.09708599972385742,0
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",76,middle,1,Lag_8,-0.10259197747417194,0.10259197747417194,0.033464712746270074,0
