date,series_code,series_name,series_label,variant,index_value
2021-12-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,115.649
2022-01-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,116.02
2022-02-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,116.592
2022-03-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,116.938
2022-04-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,109.572
2022-05-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,110.784
2022-06-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,115.916
2022-07-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,114.528
2022-08-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,114.115
2022-09-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,113.312
2022-10-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,113.223
2022-11-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,113.124
2022-12-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,113.043
2023-01-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,112.208
2023-02-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,113.656
2023-03-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,113.26
2023-04-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,112.995
2023-05-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,112.27
2023-06-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,112.646
2023-07-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,113.115
2023-08-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,112.536
