alpha,threshold_in,threshold_out,model,case,regime,start,end,stage,var_omega,cond_scaled,interpretability,degenerate_window,R2_enter,selected_count,hit_rate,false_lag_count,false_lag_rate,miss_rate,no_model,exact_recovery
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,75,100,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,76,101,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,77,102,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,78,103,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,79,104,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,80,105,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,81,106,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,82,107,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,83,108,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,84,109,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,85,110,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,86,111,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,87,112,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,88,113,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,89,114,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,90,115,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,91,116,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,92,117,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,93,118,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,94,119,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,95,120,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,96,121,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,97,122,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,98,123,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,99,124,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,100,125,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,101,126,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,102,127,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,103,128,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,104,129,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,105,130,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,106,131,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,107,132,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,108,133,late,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,109,134,late,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
