model,case,regime,start,end,stage,mean_abs_corr,max_abs_corr,false_stepwise,problem_window,selected_count,R2_enter,top_b,top_beta,correct_top_b,correct_top_beta,topk_b,topk_beta,pairwise_b,pairwise_beta,margin_b,margin_beta,delta_pairwise
delay,delay_g_1_25,сложный цикл,102,127,middle,0.49315260058123694,0.9421217712215634,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999962,0.999999999999999,0.0
delay,delay_g_1_25,сложный цикл,103,128,middle,0.5059250885837538,0.9421217712215634,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999944,0.9999999999999991,0.0
delay,delay_g_1_25,сложный цикл,104,129,late,0.4957578024509258,0.9421217712215634,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.249999999999982,0.9999999999999876,0.0
delay,delay_g_1_25,сложный цикл,105,130,late,0.4917801774593356,0.9100760672615267,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999962,0.9999999999999994,0.0
delay,delay_g_1_25,сложный цикл,106,131,late,0.49627532272903585,0.9123275491099943,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999984,0.9999999999999996,0.0
delay,delay_g_1_25,сложный цикл,107,132,late,0.5019204326554214,0.9178081610115418,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999982,0.9999999999999991,0.0
delay,delay_g_1_25,сложный цикл,108,133,late,0.49466927150044326,0.9178081610115418,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.249999999999993,0.9999999999999978,0.0
delay,delay_g_1_25,сложный цикл,109,134,late,0.4926485686059638,0.9178081610115418,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999996,0.9999999999999988,0.0
delay,delay_g_1_25,сложный цикл,110,135,late,0.4942977840716481,0.9273270126679265,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2500000000000004,0.9999999999999998,0.0
delay,delay_g_1_25,сложный цикл,111,136,late,0.5051043148458622,0.9273270126679265,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999947,0.999999999999998,0.0
